Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,1.137385,1.137592,1.128541,1.137346,1.137346,0
2022-01-04,1.130199,1.132300,1.127345,1.130224,1.130224,0
2022-01-05,1.128541,1.134559,1.127764,1.128363,1.128363,0
2022-01-06,1.131222,1.133067,1.128554,1.131350,1.131350,0
2022-01-07,1.129586,1.135976,1.129050,1.129688,1.129688,0
2022-01-10,1.135344,1.135976,1.128834,1.135396,1.135396,0
2022-01-11,1.133273,1.136900,1.131554,1.133042,1.133042,0
2022-01-12,1.137010,1.143300,1.135576,1.136648,1.136648,0
2022-01-13,1.143981,1.147908,1.143641,1.144165,1.144165,0
2022-01-14,1.145659,1.148369,1.141005,1.145712,1.145712,0
2022-01-17,1.141214,1.143458,1.139315,1.141070,1.141070,0
2022-01-18,1.141292,1.142335,1.132965,1.141057,1.141057,0
2022-01-19,1.133003,1.135680,1.131952,1.132965,1.132965,0
2022-01-20,1.134353,1.136893,1.133016,1.134340,1.134340,0
2022-01-21,1.131542,1.136105,1.130224,1.131375,1.131375,0
2022-01-24,1.134095,1.134095,1.129140,1.134147,1.134147,0
2022-01-25,1.132387,1.132503,1.126684,1.132413,1.132413,0
2022-01-26,1.130352,1.131350,1.127205,1.130454,1.130454,0
2022-01-27,1.124227,1.124480,1.113350,1.124354,1.124354,0
2022-01-28,1.114616,1.117006,1.112335,1.114703,1.114703,0
2022-01-31,1.115138,1.121692,1.114504,1.115237,1.115237,0
2022-02-01,1.122914,1.127904,1.122208,1.122965,1.122965,0
2022-02-02,1.127307,1.132939,1.126697,1.127396,1.127396,0
2022-02-03,1.129995,1.145069,1.127205,1.129995,1.129995,0
2022-02-04,1.143511,1.148369,1.141344,1.143576,1.143576,0
2022-02-07,1.145462,1.146000,1.141670,1.145515,1.145515,0
2022-02-08,1.144086,1.145082,1.139705,1.144296,1.144296,0
2022-02-09,1.142113,1.144700,1.140329,1.142126,1.142126,0
2022-02-10,1.142126,1.149425,1.138084,1.142152,1.142152,0
2022-02-11,1.141175,1.141901,1.137126,1.141553,1.141553,0
2022-02-14,1.136583,1.136893,1.129280,1.136506,1.136506,0
2022-02-15,1.130608,1.136880,1.130582,1.130633,1.130633,0
2022-02-16,1.135564,1.139315,1.134546,1.135680,1.135680,0
2022-02-17,1.137333,1.138693,1.132759,1.137527,1.137527,0
2022-02-18,1.136389,1.137669,1.131580,1.136648,1.136648,0
2022-02-21,1.131734,1.138563,1.131414,1.131721,1.131721,0
2022-02-22,1.130966,1.136377,1.128910,1.130966,1.130966,0
2022-02-23,1.133055,1.135976,1.130736,1.132913,1.132913,0
2022-02-24,1.130595,1.130595,1.111049,1.130569,1.130569,0
2022-02-25,1.119081,1.126608,1.116807,1.119069,1.119069,0
2022-02-28,1.118105,1.124455,1.114318,1.118105,1.118105,0
2022-03-01,1.121466,1.123217,1.110211,1.121592,1.121592,0
2022-03-02,1.113102,1.114194,1.105852,1.113276,1.113276,0
2022-03-03,1.111358,1.111605,1.103984,1.111235,1.111235,0
2022-03-04,1.106929,1.106929,1.089004,1.106684,1.106684,0
2022-03-07,1.087394,1.093075,1.080859,1.087453,1.087453,0
2022-03-08,1.086957,1.092216,1.085117,1.086531,1.086531,0
2022-03-09,1.090085,1.109115,1.089788,1.089823,1.089823,0
2022-03-10,1.107334,1.111617,1.098213,1.107383,1.107383,0
2022-03-11,1.101212,1.104192,1.093470,1.101394,1.101394,0
2022-03-14,1.093255,1.098696,1.090251,1.093207,1.093207,0
2022-03-15,1.094535,1.101831,1.093948,1.094319,1.094319,0
2022-03-16,1.096732,1.103875,1.095578,1.096936,1.096936,0
2022-03-17,1.102244,1.111049,1.102123,1.102196,1.102196,0
2022-03-18,1.109890,1.111791,1.100534,1.109952,1.109952,0
2022-03-21,1.104216,1.106672,1.102609,1.104313,1.104313,0
2022-03-22,1.101637,1.104570,1.096155,1.101722,1.101722,0
2022-03-23,1.103010,1.104200,1.096575,1.102974,1.102974,0
2022-03-24,1.100631,1.101334,1.096996,1.100631,1.100631,0
2022-03-25,1.100897,1.103875,1.098298,1.100958,1.100958,0
2022-03-28,1.098189,1.099674,1.094535,1.098189,1.098189,0
2022-03-29,1.099384,1.113635,1.097045,1.099384,1.099384,0
2022-03-30,1.109152,1.117000,1.108906,1.109152,1.109152,0
2022-03-31,1.116184,1.118306,1.107400,1.116184,1.116184,0
2022-04-01,1.107236,1.107542,1.102974,1.107236,1.107236,0
2022-04-04,1.104728,1.105705,1.098093,1.104728,1.104728,0
2022-04-05,1.097586,1.099143,1.092132,1.097586,1.097586,0
2022-04-06,1.090643,1.093745,1.087571,1.090643,1.090643,0
2022-04-07,1.089823,1.093506,1.086720,1.089823,1.089823,0
2022-04-08,1.086484,1.089194,1.083694,1.086484,1.086484,0
2022-04-11,1.088495,1.093279,1.087465,1.088495,1.088495,0
2022-04-12,1.087796,1.090394,1.085187,1.087796,1.087796,0
2022-04-13,1.082614,1.087382,1.081034,1.082614,1.082614,0
2022-04-14,1.089657,1.092263,1.075859,1.089657,1.089657,0
2022-04-15,1.082099,1.082345,1.079879,1.082099,1.082099,0
2022-04-18,1.081525,1.081584,1.078365,1.081525,1.081525,0
2022-04-19,1.078179,1.081210,1.076195,1.078179,1.078179,0
2022-04-20,1.079447,1.086720,1.078481,1.079447,1.079447,0
2022-04-21,1.084987,1.093470,1.082439,1.084987,1.084987,0
2022-04-22,1.083518,1.085423,1.077284,1.083518,1.083518,0
2022-04-25,1.081105,1.081221,1.070034,1.081105,1.081105,0
2022-04-26,1.071421,1.073883,1.064464,1.071421,1.071421,0
2022-04-27,1.064362,1.065644,1.051669,1.064362,1.064362,0
2022-04-28,1.055509,1.056223,1.047285,1.055509,1.055509,0
2022-04-29,1.050420,1.059042,1.050542,1.050420,1.050420,0
2022-05-02,1.053596,1.056770,1.050398,1.053596,1.053596,0
2022-05-03,1.050906,1.057765,1.049439,1.050906,1.050906,0
2022-05-04,1.052853,1.056636,1.050652,1.052853,1.052853,0
2022-05-05,1.062248,1.064000,1.050464,1.062248,1.062248,0
2022-05-06,1.053974,1.059839,1.048537,1.053974,1.053974,0
2022-05-09,1.053219,1.057217,1.049659,1.053219,1.053219,0
2022-05-10,1.056580,1.058582,1.052731,1.056580,1.056580,0
2022-05-11,1.053297,1.057563,1.050707,1.053297,1.053297,0
2022-05-12,1.051248,1.052975,1.037355,1.051248,1.051248,0
2022-05-13,1.037958,1.041938,1.035197,1.037958,1.037958,0
2022-05-16,1.040063,1.043798,1.039134,1.040063,1.040063,0
2022-05-17,1.043896,1.055376,1.043242,1.043896,1.043896,0
2022-05-18,1.054786,1.056412,1.049241,1.054786,1.054786,0
2022-05-19,1.047274,1.059805,1.046605,1.047274,1.047274,0
2022-05-20,1.057899,1.059883,1.054107,1.057899,1.057899,0
2022-05-23,1.056982,1.069027,1.056870,1.056982,1.056982,0
2022-05-24,1.068205,1.074633,1.066200,1.068205,1.068205,0
2022-05-25,1.073653,1.073653,1.064407,1.073653,1.073653,0
2022-05-26,1.068661,1.072869,1.066450,1.068661,1.068661,0
2022-05-27,1.073295,1.076507,1.069805,1.073295,1.073295,0
2022-05-30,1.073146,1.078516,1.072743,1.073146,1.073146,0
2022-05-31,1.077354,1.077493,1.068216,1.077354,1.077354,0
2022-06-01,1.073411,1.073664,1.063174,1.073411,1.073411,0
2022-06-02,1.065417,1.073849,1.064566,1.065417,1.065417,0
2022-06-03,1.075107,1.076542,1.070664,1.075107,1.075107,0
2022-06-06,1.072605,1.075269,1.068604,1.072605,1.072605,0
2022-06-07,1.069141,1.070893,1.065280,1.069141,1.069141,0
2022-06-08,1.069862,1.074830,1.067327,1.069862,1.069862,0
2022-06-09,1.071765,1.077006,1.064713,1.071765,1.071765,0
